Hypothesis,Batch,Cage,Days_Post_Birth,AMP,Sex,Weight
3,1,1,20,FALSE,F,11.7
3,1,1,20,FALSE,F,12.3
3,1,1,20,FALSE,M,12
3,1,1,20,FALSE,M,10
3,1,1,20,FALSE,M,11.2
3,1,1,20,FALSE,M,11
3,1,1,20,FALSE,M,11.5
3,1,1,20,FALSE,M,11.1
3,1,2,20,FALSE,F,14.2
3,1,2,20,FALSE,F,13.9
3,1,2,20,FALSE,F,14.4
3,1,2,20,FALSE,M,14.2
3,1,2,20,FALSE,M,13.5
3,1,2,20,FALSE,M,13.4
3,1,3,20,TRUE,F,11.7
3,1,3,20,TRUE,F,12.4
3,1,3,20,TRUE,M,12.2
3,1,3,20,TRUE,M,11.8
3,1,3,20,TRUE,M,13.1
3,1,4,20,TRUE,F,14.6
3,1,4,20,TRUE,F,13.9
3,1,4,20,TRUE,F,13.2
3,1,4,20,TRUE,F,14.5
3,1,4,20,TRUE,M,14.1
3,1,4,20,TRUE,M,14
3,1,4,20,TRUE,M,14
3,1,4,20,TRUE,M,11.4
3,1,4,20,TRUE,M,13.9
3,2,5,20,FALSE,F,13
3,2,5,20,FALSE,F,12.8
3,2,5,20,FALSE,F,13.7
3,2,5,20,FALSE,F,11.7
3,2,5,20,FALSE,M,10.4
3,2,5,20,FALSE,M,13.6
3,2,6,20,FALSE,M,9.3
3,2,6,20,FALSE,M,10.8
3,2,6,20,FALSE,M,10.7
3,2,6,20,FALSE,M,11.2
3,2,6,20,FALSE,M,8.6
3,2,6,20,FALSE,M,11.1
3,2,6,20,FALSE,M,10.4
3,2,6,20,FALSE,M,8.6
3,2,6,20,FALSE,M,10.1
3,2,6,20,FALSE,M,9.9
3,2,6,20,FALSE,F,10.1
3,2,7,20,FALSE,F,9.2
3,2,7,20,FALSE,M,8.5
3,2,7,20,FALSE,M,7.6
3,2,7,20,FALSE,M,8.7
3,2,7,20,FALSE,M,8.7
3,2,7,20,FALSE,M,9.2
3,2,7,20,FALSE,M,10.7
3,2,8,20,FALSE,F,10.9
3,2,8,20,FALSE,F,11
3,2,8,20,FALSE,F,11.2
3,2,8,20,FALSE,M,11.8
3,2,8,20,FALSE,M,9.7
3,2,8,20,FALSE,M,10
3,2,8,20,FALSE,M,10.8
3,2,8,20,FALSE,M,11.2
3,2,2,20,TRUE,F,11
3,2,2,20,TRUE,F,12.1
3,2,2,20,TRUE,F,11.7
