row.ID,annotation.network.number
52,NA
235,NA
64,NA
283,NA
317,NA
305,NA
120,NA
318,NA
260,NA
517,NA
412,NA
60,NA
343,NA
326,NA
725,NA
277,NA
389,NA
387,6
96,NA
409,NA
79,NA
428,NA
298,NA
515,NA
319,NA
293,NA
259,NA
331,NA
438,NA
413,6
154,NA
431,NA
419,6
494,NA
313,NA
430,4
211,NA
439,5
509,NA
251,NA
538,6
452,NA
520,NA
265,NA
1174,15
128,NA
309,NA
199,NA
77,NA
527,NA
534,NA
764,NA
592,NA
291,NA
582,NA
541,NA
450,NA
392,NA
195,NA
784,NA
182,NA
112,NA
379,NA
479,53
437,3
668,NA
533,24
602,82
673,NA
393,NA
504,NA
580,11
597,11
657,128
569,47
264,21
633,13
567,11
362,6
338,NA
508,NA
473,NA
256,NA
555,5
760,NA
445,NA
653,NA
691,NA
341,NA
327,NA
619,NA
476,NA
585,NA
568,NA
824,NA
502,NA
253,NA
233,NA
732,NA
558,28
738,NA
316,NA
825,NA
307,NA
687,NA
427,NA
470,NA
641,42
731,NA
642,NA
561,31
451,NA
701,NA
612,NA
420,22
560,NA
833,NA
712,NA
736,29
1137,NA
464,NA
975,NA
512,66
521,NA
803,NA
996,NA
851,NA
759,NA
660,NA
647,32
252,NA
720,NA
2507,NA
615,NA
492,NA
432,23
188,NA
805,26
797,NA
729,NA
631,NA
254,NA
310,NA
674,26
801,61
1010,NA
973,NA
514,NA
853,NA
831,92
836,NA
861,NA
780,49
721,NA
892,NA
526,NA
894,NA
751,59
354,NA
895,NA
845,NA
846,NA
850,NA
230,NA
688,NA
330,20
841,38
3105,29
890,NA
886,32
635,28
1419,NA
863,41
782,NA
678,NA
896,NA
903,38
961,50
822,45
1164,NA
388,NA
804,NA
917,32
939,NA
769,NA
937,NA
669,NA
916,NA
768,NA
564,NA
823,NA
1019,34
748,NA
829,61
810,NA
480,NA
934,NA
1035,114
490,31
758,NA
3356,48
3449,NA
130,NA
676,NA
563,NA
522,6
1094,NA
1238,NA
1071,NA
258,NA
968,NA
1193,NA
925,NA
171,NA
709,NA
1239,NA
1021,NA
944,38
789,NA
342,NA
1404,NA
1179,NA
972,44
1322,NA
485,NA
614,NA
84,NA
877,NA
1144,NA
1039,60
623,105
1061,52
1077,NA
1110,NA
1108,NA
575,NA
2114,NA
987,NA
2746,NA
821,NA
990,NA
1070,NA
1029,NA
1280,NA
704,NA
1081,NA
1109,NA
1661,NA
906,NA
530,48
519,NA
1152,NA
1150,NA
838,NA
1027,NA
1307,NA
1062,NA
1308,39
1096,NA
730,NA
3295,NA
938,NA
1032,NA
1130,60
686,NA
1631,NA
1040,NA
700,NA
752,NA
1594,NA
1076,NA
1148,NA
1131,NA
1208,NA
1267,NA
1099,68
1477,NA
376,NA
1416,NA
1157,NA
1091,NA
348,NA
1129,NA
1183,NA
1288,63
4142,NA
724,NA
734,NA
1303,42
1955,NA
1345,52
1191,NA
321,NA
361,NA
1282,NA
1147,NA
1031,NA
786,NA
1202,NA
871,135
1030,NA
487,NA
1261,NA
666,NA
1192,NA
1410,NA
710,NA
1254,NA
2010,NA
1713,NA
1187,111
1535,72
1248,NA
1323,NA
1069,NA
1531,NA
3035,NA
1319,NA
1200,NA
1367,NA
1124,49
3378,NA
433,NA
974,NA
1228,73
1364,NA
1243,60
1041,NA
1232,63
1330,NA
818,100
1836,NA
1009,NA
1262,NA
742,NA
1360,68
1600,NA
1249,65
3248,NA
1588,164
1374,67
1441,NA
371,NA
1258,NA
1266,NA
1324,NA
1315,83
2187,47
1484,80
1514,NA
1294,NA
1283,NA
1336,NA
1213,NA
1412,NA
1617,NA
1399,NA
1471,68
814,NA
1224,NA
1235,NA
868,60
2809,NA
1714,79
1063,NA
1335,NA
1593,NA
1682,76
1073,NA
1406,NA
1571,68
1556,NA
1575,NA
1227,NA
1293,NA
1340,NA
920,154
2105,NA
1292,NA
1665,NA
1173,NA
1341,72
1634,NA
1349,NA
1154,NA
1346,NA
1177,NA
1680,NA
1304,NA
1207,NA
2102,NA
3989,NA
1074,NA
1683,76
1411,NA
1605,NA
1519,NA
1497,187
1544,NA
952,NA
2237,NA
1206,174
1611,NA
1565,89
1079,NA
1794,NA
1578,NA
1597,NA
1287,NA
1348,NA
1485,NA
1003,NA
1427,NA
1430,NA
1435,NA
1436,NA
1437,NA
2272,NA
1587,NA
1615,NA
3991,NA
2073,94
1444,NA
1409,NA
1995,90
875,NA
1255,NA
1482,NA
4113,NA
1910,NA
1389,NA
1740,79
1629,NA
1398,109
670,59
1020,NA
1234,NA
475,93
2076,NA
1028,NA
2228,NA
1331,NA
2024,NA
1644,NA
1421,96
2055,NA
1515,NA
1657,106
1347,NA
3129,NA
1598,86
1630,53
1509,NA
1496,NA
1562,NA
1591,93
1552,NA
1553,123
2030,108
1809,NA
2353,NA
692,NA
773,NA
1708,NA
1523,NA
1912,NA
1730,NA
1184,NA
1269,NA
1640,89
1754,NA
1666,80
1015,NA
1701,NA
3383,NA
1860,NA
1861,NA
1623,NA
1699,NA
1668,NA
1420,NA
4467,113
1316,NA
1747,114
1511,88
1994,122
1914,98
1867,NA
2869,135
1973,NA
2093,NA
1738,NA
1870,NA
1767,NA
1595,NA
811,NA
1694,94
328,66
3073,NA
1856,NA
1830,NA
1659,NA
429,NA
1691,NA
2283,NA
2097,NA
1584,NA
4511,NA
1570,NA
1731,NA
2053,NA
2180,NA
956,NA
2012,NA
1371,NA
1613,NA
1696,NA
1741,135
1847,116
1745,NA
1924,165
1632,NA
1793,NA
1882,NA
1823,NA
1608,NA
970,NA
1837,NA
1897,NA
1820,NA
1418,NA
1911,116
1818,NA
3467,NA
1903,NA
2603,NA
3480,NA
1944,106
1312,NA
1790,NA
1824,NA
1857,NA
1828,NA
1645,NA
2217,108
2262,NA
827,NA
1744,NA
1899,61
1456,NA
1554,NA
1390,NA
1943,NA
1268,NA
1821,NA
