Metabolite,LibraryID,Precursor_Mass,Network_Number,RTConsensus
52,NA,717.29,NA,0.3195
235,NA,276.1,NA,0.3225
64,NA,108.08,NA,0.3244
283,NA,137.03,NA,0.3244
317,NA,135,3566,0.3263
305,NA,182.1,NA,0.3264
120,NA,274.07,NA,0.3265
318,NA,158.15,722,0.3273
260,NA,169.04,NA,0.3276
517,NA,317.22,7191,0.3278
412,NA,295.07,284,0.3282
60,NA,174.16,NA,0.3283
343,NA,171.15,NA,0.3284
326,NA,308.09,1320,0.3286
725,NA,212.11,NA,0.3289
277,NA,177.13,2041,0.3293
389,NA,256.1,NA,0.33
96,NA,705.19,2848,0.3303
409,NA,296.1,NA,0.3303
79,NA,651.28,7351,0.3303
428,NA,613.16,NA,0.3303
298,NA,312.11,NA,0.3305
515,NA,258.18,2256,0.3309
319,NA,235.12,2923,0.3309
293,NA,133.03,189,0.3312
259,NA,247.06,NA,0.3312
331,NA,245.08,183,0.3313
438,NA,126.07,442,0.3315
154,NA,960.34,836,0.3316
431,NA,260.11,1196,0.3324
494,NA,327.1,5370,0.3328
313,NA,185.16,NA,0.333
211,NA,205.14,3543,0.3334
509,NA,353.19,2230,0.3335
251,NA,190.12,NA,0.3335
452,NA,250.06,NA,0.334
520,NA,331.23,7191,0.3344
265,NA,140.05,1125,0.3347
128,NA,664.12,NA,0.3353
309,NA,217.13,NA,0.3356
199,NA,219.1,2016,0.3358
77,NA,805.33,2184,0.3358
527,NA,157.01,NA,0.3359
534,NA,318.12,5556,0.3361
764,NA,158.09,189,0.3366
592,NA,111.01,NA,0.3371
291,NA,123.06,1993,0.3372
582,NA,173.14,NA,0.3375
541,NA,330.15,2172,0.338
450,NA,491.25,2336,0.3381
392,NA,307.08,1320,0.3383
195,NA,420.15,NA,0.3386
784,NA,231.15,1166,0.3387
182,NA,297.16,NA,0.3387
112,NA,492.17,4361,0.3388
379,NA,237,NA,0.3389
668,NA,304.14,750,0.3397
673,NA,204.06,NA,0.3404
393,NA,204.13,NA,0.3404
504,NA,359.24,2516,0.3405
338,NA,200.1,NA,0.3427
508,NA,689.21,NA,0.3427
473,NA,564.21,836,0.3427
256,NA,168.11,NA,0.3432
760,NA,359.27,2516,0.3433
445,NA,174.08,NA,0.3439
653,NA,404.18,NA,0.3442
691,NA,236.15,NA,0.3445
341,NA,303.12,2256,0.3445
327,NA,248.15,4752,0.3445
619,NA,268.14,5556,0.3447
476,NA,291.2,NA,0.3447
585,NA,160.11,NA,0.3448
568,NA,260.2,NA,0.3448
824,NA,314.09,NA,0.3449
502,NA,236.11,125,0.345
253,NA,226.08,NA,0.3458
233,NA,230.19,NA,0.346
732,NA,416.26,NA,0.3463
738,NA,465.21,NA,0.3475
316,NA,124.04,NA,0.3475
825,NA,132.07,2096,0.3481
307,NA,287.24,NA,0.3483
687,NA,170.09,57,0.3487
427,NA,176.13,2041,0.3488
470,NA,258.1,2256,0.3493
731,NA,288.2,NA,0.3495
642,NA,344.13,NA,0.3495
451,NA,208.06,NA,0.35
701,NA,174.12,1926,0.3501
612,NA,200.18,NA,0.3501
560,NA,200.08,NA,0.3504
833,NA,226.16,NA,0.3508
712,NA,245.11,NA,0.351
1137,NA,432.28,NA,0.3512
464,NA,289.14,3852,0.3513
975,NA,497.2,125,0.3514
521,NA,159.03,NA,0.3514
803,NA,201.09,2016,0.3515
996,NA,172.98,5137,0.3519
851,NA,362.09,2231,0.3522
759,NA,206.08,3543,0.3522
660,NA,331.17,2172,0.3522
252,NA,146.09,NA,0.3529
720,NA,198.21,10,0.3531
2507,NA,134.12,NA,0.3534
615,NA,259.09,1196,0.3534
492,NA,259.13,2256,0.3536
188,NA,190.16,NA,0.3537
797,NA,159.15,NA,0.3543
729,NA,271.14,1166,0.3543
631,NA,403.19,NA,0.3548
254,NA,274.09,NA,0.355
310,NA,250.13,NA,0.3552
1010,NA,289.19,4806,0.3566
973,NA,305.1,NA,0.3569
514,NA,440.17,NA,0.3569
853,NA,285.1,NA,0.3572
836,NA,176.09,2264,0.3573
861,NA,176.07,1926,0.3575
721,NA,474.18,836,0.3579
892,NA,129.07,NA,0.3582
526,NA,303.16,750,0.3582
894,NA,294.12,125,0.3584
354,NA,200.13,NA,0.3586
895,NA,212.1,1411,0.3591
845,NA,344.28,94,0.3596
846,NA,356.28,NA,0.3596
850,NA,470.35,94,0.3596
230,NA,139.05,NA,0.3598
688,NA,274.13,NA,0.3603
890,NA,421.13,483,0.3609
1419,NA,150.06,1170,0.362
782,NA,147.08,NA,0.3629
678,NA,187.11,NA,0.3629
896,NA,409.18,NA,0.3636
1164,NA,302.14,2401,0.3647
388,NA,309.17,386,0.3648
804,NA,215.1,NA,0.3649
939,NA,229.12,1719,0.365
769,NA,118.05,2096,0.3652
937,NA,233.11,2016,0.3654
669,NA,342.14,NA,0.3656
916,NA,247.12,NA,0.3658
768,NA,427.11,NA,0.3659
564,NA,238.09,NA,0.3659
823,NA,198.08,3582,0.3663
748,NA,337.16,NA,0.3665
810,NA,474.22,424,0.3666
480,NA,137.05,733,0.3668
934,NA,315.18,4806,0.3668
758,NA,156.14,57,0.3674
3449,NA,151.06,168,0.3682
130,NA,343.12,207,0.3682
676,NA,286.14,NA,0.3688
563,NA,684.26,207,0.3691
1094,NA,284.1,284,0.3697
1238,NA,387.27,NA,0.3697
1071,NA,185.09,NA,0.3699
258,NA,280.14,319,0.37
968,NA,156.07,NA,0.37
1193,NA,554.26,NA,0.3701
925,NA,149.02,NA,0.3709
171,NA,489.23,7351,0.3711
709,NA,199.18,NA,0.3721
1239,NA,351.21,4399,0.3724
1021,NA,384.22,424,0.3727
789,NA,469.27,2322,0.3733
342,NA,144.1,654,0.3739
1404,NA,127.04,1156,0.3741
1179,NA,198.1,207,0.3741
1322,NA,173.08,5137,0.3743
485,NA,208.12,870,0.3743
614,NA,225.23,NA,0.3744
84,NA,360.15,207,0.3746
877,NA,254.12,NA,0.3747
1144,NA,346.09,2231,0.3748
1077,NA,307.04,2544,0.3749
1110,NA,255.1,284,0.375
1108,NA,157.1,NA,0.3751
575,NA,314.12,NA,0.3758
2114,NA,231.08,NA,0.3758
987,NA,245.16,NA,0.3761
2746,NA,227.14,NA,0.3764
821,NA,110.06,NA,0.3765
990,NA,327.16,424,0.3765
1070,NA,244.2,NA,0.3767
1029,NA,300.14,768,0.3769
1280,NA,479.14,NA,0.3771
704,NA,215.14,189,0.3774
1081,NA,283.08,1475,0.3775
1109,NA,390.21,NA,0.3778
1661,NA,188.13,2589,0.3781
906,NA,212.09,NA,0.3781
519,NA,136.06,307,0.3785
1152,NA,291.07,284,0.379
1150,NA,375.21,680,0.3795
838,NA,222.1,NA,0.3796
1027,NA,316.1,NA,0.3799
1307,NA,321.17,125,0.3801
1062,NA,583.19,NA,0.3803
1096,NA,262.04,NA,0.3806
730,NA,439.23,NA,0.3807
3295,NA,202.12,NA,0.3811
938,NA,270.1,NA,0.3817
1032,NA,252.07,4414,0.3818
686,NA,237.09,NA,0.3821
1631,NA,203.05,NA,0.3824
1040,NA,234.09,NA,0.3826
700,NA,192.12,1407,0.3831
752,NA,414.2,424,0.3837
1594,NA,578.23,836,0.3838
1076,NA,621.23,836,0.384
1148,NA,345.18,NA,0.384
1131,NA,347.16,300,0.3846
1208,NA,216.14,NA,0.3848
1267,NA,505.18,207,0.3848
1477,NA,519.18,NA,0.3851
376,NA,423.41,10,0.3851
1416,NA,232.13,NA,0.3855
1157,NA,240.09,2853,0.3857
1091,NA,264.14,319,0.3858
348,NA,205.13,94,0.3859
1129,NA,218.14,NA,0.3859
1183,NA,158.12,3582,0.3866
4142,NA,265.11,NA,0.3871
724,NA,248.11,NA,0.3875
734,NA,286.09,NA,0.3875
1955,NA,153.04,NA,0.3891
1191,NA,175.05,NA,0.3894
321,NA,256.28,NA,0.3896
361,NA,398.17,NA,0.3898
1282,NA,258.11,NA,0.3899
1147,NA,261.1,NA,0.39
1031,NA,226.11,592,0.3901
786,NA,116.07,189,0.3902
1202,NA,246.13,NA,0.3905
1030,NA,188.16,NA,0.3911
487,NA,422.21,NA,0.3913
1261,NA,239.11,697,0.3913
666,NA,227.22,NA,0.3917
1192,NA,453.14,NA,0.3917
1410,NA,229.16,5581,0.3927
710,NA,151.09,168,0.3929
1254,NA,241.15,4628,0.3929
2010,NA,381.7,1108,0.393
1713,NA,305.13,NA,0.3933
1248,NA,182.13,1020,0.3938
1323,NA,494.21,125,0.3941
1069,NA,166.07,670,0.3944
1531,NA,341.18,NA,0.3945
3035,NA,171.11,NA,0.395
1319,NA,228.09,NA,0.3952
1200,NA,146.17,NA,0.3952
1367,NA,290.14,4631,0.3955
3378,NA,180.09,NA,0.3961
433,NA,205.2,NA,0.3963
974,NA,282.12,3417,0.3966
1364,NA,276.16,NA,0.3972
1041,NA,215.15,2600,0.3974
1330,NA,271.16,NA,0.398
1836,NA,357.25,NA,0.3981
1009,NA,246.21,NA,0.3982
1262,NA,232.12,NA,0.3986
742,NA,267.13,2233,0.3989
1600,NA,272.12,6558,0.3997
3248,NA,351.18,2218,0.4004
1441,NA,313.18,2047,0.401
371,NA,270.27,NA,0.401
1258,NA,446.33,94,0.4012
1266,NA,222.08,5757,0.4018
1324,NA,434.19,2336,0.4021
1514,NA,210.08,NA,0.4036
1294,NA,206.1,3274,0.404
1283,NA,234.96,NA,0.4043
1336,NA,184.06,557,0.4045
1213,NA,190.02,NA,0.4049
1412,NA,276.11,125,0.4051
1617,NA,330.14,NA,0.4051
